Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Mn,Fe,Ni,Zn,Rb,Sr,Y,Zr,Mo,Ru,Te,I,Cs,Ba,La,Hf,Ce,Pr,Nd,S_autres_TR,Température,Poh,Ln(V0)
0,10.71,60.65,8.45,0,0,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.48490665
0,10.71,60.65,8.45,0,0,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.87356464
0,10.71,60.65,8.45,0,0,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.501435952
0,10.09,60.59,7.99,0,2.39,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,0.955511445
0,9.74,60.25,7.65,0,2.33,18.29,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.292534757
0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.104134154
0,9.94,60.7,7.84,0,2.34,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,0.7884573604
0,10.37,60.24,8.17,0,0,19.39,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,3.955082495
0,10.2,60.37,8.0,0,0,19.08,0,0,1.8,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,4.032469159
0,15.61,60.79,6.54,0,0,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,5.257495372
0,15.61,60.79,6.54,0,0,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,5.308267697
0,12.12,54.05,21.19,0,0,12.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,10.7657444
0,9.08,55.8,18.71,0,0,16.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,7.635303886
1.24,0,57.24,12.42,0,6.47,18.08,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.722766598
1.24,0,57.24,12.42,0,6.47,18.08,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.974081026
1.24,0,57.24,12.42,0,6.47,18.08,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.704748092
1.16,0,57.6,10.38,0,12.27,14.84,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.282382386
1.16,0,57.6,10.38,0,12.27,14.84,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.609437912
0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,2.00148
0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.808288771
0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.504077397
0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.974081026
0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.526056303
0,0,0,8.27,0,51.58,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,1.335001067
0,0,0,49.26,0,9.74,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,0.1823215568
0,0,0,20.0,0,20.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3.108446923,-1.347073648
0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6.16782454,-3.194183212
0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5.879131022,-2.47693848
0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5.607263587,-2.244316185
0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,5.350792864,-0.3812604194
0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,0.4995624315
0,11.66,59.33,10.78,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,50,6.16782454,-5.80914299
0,11.66,59.33,10.78,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,60,5.879131022,-4.342805922
0,11.66,59.33,10.78,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,70,5.607263587,-4.017383521
0,11.66,59.33,10.78,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,80,5.350792864,-2.120263536
0,11.66,59.33,10.78,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,90,5.108446923,-0.5691612008
